instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,gap_vs_first
Instances/Instances 1/a280_01.gt,279,100.0,86400.0,PTVRP_CONT,16387.0,72,2,0.0044,,,,,,0,,0,
Instances/Instances 1/a280_02.gt,279,200.0,86400.0,PTVRP_CONT,8816.0,36,2,0.0042,,,,,,0,,0,
Instances/Instances 1/a280_03.gt,279,500.0,86400.0,PTVRP_CONT,4897.0,15,1,0.0042,,,,,,0,,0,
Instances/Instances 1/a280_04.gt,279,1000.0,86400.0,PTVRP_CONT,3722.0,9,1,0.004,,,,,,0,,0,
Instances/Instances 1/a280_05.gt,279,2000.0,86400.0,PTVRP_CONT,3176.0,4,1,0.0048,,,,,,0,,0,
Instances/Instances 1/a280_06.gt,279,5000.0,86400.0,PTVRP_CONT,2855.0,2,1,0.0067,,,,,,0,,0,
Instances/Instances 1/a280_07.gt,279,10000.0,86400.0,PTVRP_CONT,2835.0,1,1,0.0046,,,,,,0,,0,
Instances/Instances 1/a280_08.gt,279,20000.0,86400.0,PTVRP_CONT,2835.0,1,1,0.0063,,,,,,0,,0,
Instances/Instances 1/a280_09.gt,279,50000.0,86400.0,PTVRP_CONT,2835.0,1,1,0.0046,,,,,,0,,0,
Instances/Instances 1/a280_10.gt,279,100000.0,86400.0,PTVRP_CONT,2835.0,1,1,0.0039,,,,,,0,,0,
Instances/Instances 1/ar9152_01.gt,9151,100.0,86400.0,PTVRP_CONT,28717346.0,1467,5,0.2503,,,,,,0,,0,
Instances/Instances 1/ar9152_02.gt,9151,200.0,86400.0,PTVRP_CONT,14570814.0,978,5,0.2525,,,,,,0,,0,
Instances/Instances 1/ar9152_03.gt,9151,500.0,86400.0,PTVRP_CONT,6223523.0,476,2,0.2482,,,,,,0,,0,
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_CONT,3468503.0,239,2,0.3529,,,,,,0,,0,
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_CONT,2131437.0,123,1,0.2544,,,,,,0,,0,
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_CONT,1329482.0,51,1,0.3215,,,,,,0,,0,
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_CONT,1090437.0,27,1,0.2651,,,,,,0,,0,
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_CONT,986552.0,15,1,0.2627,,,,,,0,,0,
Instances/Instances 1/ar9152_09.gt,9151,50000.0,86400.0,PTVRP_CONT,970633.0,13,1,0.2726,,,,,,0,,0,
Instances/Instances 1/ar9152_10.gt,9151,100000.0,86400.0,PTVRP_CONT,970633.0,13,1,0.2665,,,,,,0,,0,
Instances/Instances 1/berlin52_01.gt,51,100.0,86400.0,PTVRP_CONT,14644.0,14,1,0.0051,,,,,,0,,0,
Instances/Instances 1/berlin52_02.gt,51,200.0,86400.0,PTVRP_CONT,11269.0,8,1,0.0069,,,,,,0,,0,
Instances/Instances 1/berlin52_03.gt,51,500.0,86400.0,PTVRP_CONT,8619.0,4,1,0.0048,,,,,,0,,0,
Instances/Instances 1/berlin52_04.gt,51,1000.0,86400.0,PTVRP_CONT,7852.0,2,1,0.004,,,,,,0,,0,
